Entity,Code,Year,Total confirmed cases of COVID-19
Spain,ESP,40,45
Spain,ESP,41,45
Spain,ESP,42,114
Spain,ESP,43,151
Spain,ESP,44,198
Spain,ESP,45,257
Spain,ESP,46,374
Spain,ESP,47,430
Spain,ESP,48,589
Spain,ESP,49,1024
Spain,ESP,50,1639
Sri Lanka,LKA,7,1
Sri Lanka,LKA,8,1
Sri Lanka,LKA,9,1
Sri Lanka,LKA,10,1
Sri Lanka,LKA,11,1
Sri Lanka,LKA,12,1
Sri Lanka,LKA,13,1
Sri Lanka,LKA,14,1
Sri Lanka,LKA,15,1
Sri Lanka,LKA,16,1
Sri Lanka,LKA,17,1
Sri Lanka,LKA,18,1
Sri Lanka,LKA,19,1
Sri Lanka,LKA,20,1
Sri Lanka,LKA,21,1
Sri Lanka,LKA,22,1
Sri Lanka,LKA,23,1
Sri Lanka,LKA,24,1
Sri Lanka,LKA,25,1
Sri Lanka,LKA,26,1
Sri Lanka,LKA,27,1
Sri Lanka,LKA,28,1
Sri Lanka,LKA,29,1
Sri Lanka,LKA,30,1
Sri Lanka,LKA,31,1
Sri Lanka,LKA,32,1
Sri Lanka,LKA,33,1
Sri Lanka,LKA,34,1
Sri Lanka,LKA,35,1
Sri Lanka,LKA,36,1
Sri Lanka,LKA,37,1
Sri Lanka,LKA,38,1
Sri Lanka,LKA,39,1
Sri Lanka,LKA,40,1
Sri Lanka,LKA,41,1
Sri Lanka,LKA,42,1
Sri Lanka,LKA,43,1
Sri Lanka,LKA,44,1
Sri Lanka,LKA,45,1
Sri Lanka,LKA,46,1
Sri Lanka,LKA,47,1
Sri Lanka,LKA,48,1
Sri Lanka,LKA,49,1
Sri Lanka,LKA,50,1
Sweden,SWE,11,1
Sweden,SWE,12,1
Sweden,SWE,13,1
Sweden,SWE,14,1
Sweden,SWE,15,1
Sweden,SWE,16,1
Sweden,SWE,17,1
Sweden,SWE,18,1
Sweden,SWE,19,1
Sweden,SWE,20,1
Sweden,SWE,21,1
Sweden,SWE,22,1
Sweden,SWE,23,1
Sweden,SWE,24,1
Sweden,SWE,25,1
Sweden,SWE,26,1
Sweden,SWE,27,1
Sweden,SWE,28,1
Sweden,SWE,29,1
Sweden,SWE,30,1
Sweden,SWE,31,1
Sweden,SWE,32,1
Sweden,SWE,33,1
Sweden,SWE,34,1
Sweden,SWE,35,1
Sweden,SWE,36,1
Sweden,SWE,37,2
Sweden,SWE,38,7
Sweden,SWE,39,12
Sweden,SWE,40,13
Sweden,SWE,41,14
Sweden,SWE,42,15
Sweden,SWE,43,24
Sweden,SWE,44,35
Sweden,SWE,45,61
Sweden,SWE,46,137
Sweden,SWE,47,161
Sweden,SWE,48,203
Sweden,SWE,49,248
Sweden,SWE,50,326
Switzerland,CHE,36,1
Switzerland,CHE,37,1
Switzerland,CHE,38,6
Switzerland,CHE,39,10
Switzerland,CHE,40,18
Switzerland,CHE,41,24
Switzerland,CHE,42,30
Switzerland,CHE,43,37
Switzerland,CHE,44,56
Switzerland,CHE,45,86
Switzerland,CHE,46,209
Switzerland,CHE,47,264
Switzerland,CHE,48,332
Switzerland,CHE,49,332
Switzerland,CHE,50,491
Thailand,THA,0,2
Thailand,THA,1,2
Thailand,THA,2,4
Thailand,THA,3,4
Thailand,THA,4,4
Thailand,THA,5,5
Thailand,THA,6,5
Thailand,THA,7,14
Thailand,THA,8,14
Thailand,THA,9,14
Thailand,THA,10,14
Thailand,THA,11,19
Thailand,THA,12,19
Thailand,THA,13,19
Thailand,THA,14,19
Thailand,THA,15,25
Thailand,THA,16,25
Thailand,THA,17,25
Thailand,THA,18,32
Thailand,THA,19,32
Thailand,THA,20,32
Thailand,THA,21,33
Thailand,THA,22,33
Thailand,THA,23,33
Thailand,THA,24,33
Thailand,THA,25,34
Thailand,THA,26,34
Thailand,THA,27,35
Thailand,THA,28,35
Thailand,THA,29,35
Thailand,THA,30,35
Thailand,THA,31,35
Thailand,THA,32,35
Thailand,THA,33,35
Thailand,THA,34,35
Thailand,THA,35,37
Thailand,THA,36,40
Thailand,THA,37,40
Thailand,THA,38,40
Thailand,THA,39,42
Thailand,THA,40,42
Thailand,THA,41,42
Thailand,THA,42,43
Thailand,THA,43,43
Thailand,THA,44,47
Thailand,THA,45,47
Thailand,THA,46,48
Thailand,THA,47,50
Thailand,THA,48,50
Thailand,THA,49,53
Thailand,THA,50,59
Togo,TGO,46,1
Togo,TGO,47,1
Togo,TGO,48,1
Togo,TGO,49,1
Togo,TGO,50,1
Tunisia,TUN,42,1
Tunisia,TUN,43,1
Tunisia,TUN,44,1
Tunisia,TUN,45,1
Tunisia,TUN,46,1
Tunisia,TUN,47,1
Tunisia,TUN,48,2
Tunisia,TUN,49,2
Tunisia,TUN,50,6
Ukraine,UKR,43,1
Ukraine,UKR,44,1
Ukraine,UKR,45,1
Ukraine,UKR,46,1
Ukraine,UKR,47,1
Ukraine,UKR,48,1
Ukraine,UKR,49,1
Ukraine,UKR,50,1
United Arab Emirates,ARE,8,4
United Arab Emirates,ARE,9,4
United Arab Emirates,ARE,10,4
United Arab Emirates,ARE,11,4
United Arab Emirates,ARE,12,5
United Arab Emirates,ARE,13,5
United Arab Emirates,ARE,14,5
United Arab Emirates,ARE,15,5
United Arab Emirates,ARE,16,5
United Arab Emirates,ARE,17,5
United Arab Emirates,ARE,18,7
United Arab Emirates,ARE,19,7
United Arab Emirates,ARE,20,7
United Arab Emirates,ARE,21,8
United Arab Emirates,ARE,22,8
United Arab Emirates,ARE,23,8
United Arab Emirates,ARE,24,8
United Arab Emirates,ARE,25,8
United Arab Emirates,ARE,26,8
United Arab Emirates,ARE,27,9
United Arab Emirates,ARE,28,9
United Arab Emirates,ARE,29,9
United Arab Emirates,ARE,30,9
United Arab Emirates,ARE,31,9
United Arab Emirates,ARE,32,11
United Arab Emirates,ARE,33,13
United Arab Emirates,ARE,34,13
United Arab Emirates,ARE,35,13
United Arab Emirates,ARE,36,13
United Arab Emirates,ARE,37,13
United Arab Emirates,ARE,38,19
United Arab Emirates,ARE,39,19
United Arab Emirates,ARE,40,19
United Arab Emirates,ARE,41,21
United Arab Emirates,ARE,42,21
United Arab Emirates,ARE,43,27
United Arab Emirates,ARE,44,27
United Arab Emirates,ARE,45,27
United Arab Emirates,ARE,46,45
United Arab Emirates,ARE,47,45
United Arab Emirates,ARE,48,45
United Arab Emirates,ARE,49,59
United Arab Emirates,ARE,50,74
United Kingdom,GBR,11,2
United Kingdom,GBR,12,2
United Kingdom,GBR,13,2
United Kingdom,GBR,14,2
United Kingdom,GBR,15,2
United Kingdom,GBR,16,2
United Kingdom,GBR,17,3
United Kingdom,GBR,18,3
United Kingdom,GBR,19,3
United Kingdom,GBR,20,4
United Kingdom,GBR,21,8
United Kingdom,GBR,22,8
United Kingdom,GBR,23,9
United Kingdom,GBR,24,9
United Kingdom,GBR,25,9
United Kingdom,GBR,26,9
United Kingdom,GBR,27,9
United Kingdom,GBR,28,9
United Kingdom,GBR,29,9
United Kingdom,GBR,30,9
United Kingdom,GBR,31,9
United Kingdom,GBR,32,9
United Kingdom,GBR,33,9
United Kingdom,GBR,34,9
United Kingdom,GBR,35,13
United Kingdom,GBR,36,13
United Kingdom,GBR,37,13
United Kingdom,GBR,38,16
United Kingdom,GBR,39,20
United Kingdom,GBR,40,23
United Kingdom,GBR,41,36
United Kingdom,GBR,42,39
United Kingdom,GBR,43,51
United Kingdom,GBR,44,89
United Kingdom,GBR,45,118
United Kingdom,GBR,46,167
United Kingdom,GBR,47,210
United Kingdom,GBR,48,277
United Kingdom,GBR,49,323
United Kingdom,GBR,50,373
United States,USA,2,1
United States,USA,3,1
United States,USA,4,2
United States,USA,5,2
United States,USA,6,5
United States,USA,7,5
United States,USA,8,5
United States,USA,9,5
United States,USA,10,6
United States,USA,11,7
United States,USA,12,8
United States,USA,13,11
United States,USA,14,11
United States,USA,15,11
United States,USA,16,12
United States,USA,17,12
United States,USA,18,12
United States,USA,19,12
United States,USA,20,12
United States,USA,21,13
United States,USA,22,13
United States,USA,23,14
United States,USA,24,15
United States,USA,25,15
United States,USA,26,15
United States,USA,27,15
United States,USA,28,15
United States,USA,29,15
United States,USA,30,15
United States,USA,31,15
United States,USA,32,35
United States,USA,33,35
United States,USA,34,35
United States,USA,35,53
United States,USA,36,53
United States,USA,37,59
United States,USA,38,59
United States,USA,39,62
United States,USA,40,62
United States,USA,41,62
United States,USA,42,64
United States,USA,43,108
United States,USA,44,129
United States,USA,45,148
United States,USA,46,213
United States,USA,47,213
United States,USA,48,213
United States,USA,49,472
United States,USA,50,696
Vatican,VAT,46,1
Vatican,VAT,47,1
Vatican,VAT,48,1
Vatican,VAT,49,1
Vatican,VAT,50,1
Vietnam,VNM,3,2
Vietnam,VNM,4,2
Vietnam,VNM,5,2
Vietnam,VNM,6,2
Vietnam,VNM,7,2
Vietnam,VNM,8,2
Vietnam,VNM,9,2
Vietnam,VNM,10,5
Vietnam,VNM,11,6
Vietnam,VNM,12,7
Vietnam,VNM,13,8
Vietnam,VNM,14,9
Vietnam,VNM,15,10
Vietnam,VNM,16,10
Vietnam,VNM,17,12
Vietnam,VNM,18,13
Vietnam,VNM,19,14
Vietnam,VNM,20,14
Vietnam,VNM,21,15
Vietnam,VNM,22,15
Vietnam,VNM,23,16
Vietnam,VNM,24,16
Vietnam,VNM,25,16
Vietnam,VNM,26,16
Vietnam,VNM,27,16
Vietnam,VNM,28,16
Vietnam,VNM,29,16
Vietnam,VNM,30,16
Vietnam,VNM,31,16
Vietnam,VNM,32,16
Vietnam,VNM,33,16
Vietnam,VNM,34,16
Vietnam,VNM,35,16
Vietnam,VNM,36,16
Vietnam,VNM,37,16
Vietnam,VNM,38,16
Vietnam,VNM,39,16
Vietnam,VNM,40,16
Vietnam,VNM,41,16
Vietnam,VNM,42,16
Vietnam,VNM,43,16
Vietnam,VNM,44,16
Vietnam,VNM,45,16
Vietnam,VNM,46,17
Vietnam,VNM,47,21
Vietnam,VNM,48,30
Vietnam,VNM,49,31
Vietnam,VNM,50,35
Worldwide,,0,282
Worldwide,,1,314
Worldwide,,2,581
Worldwide,,3,846
Worldwide,,4,1320
Worldwide,,5,2014
Worldwide,,6,2798
Worldwide,,7,4593
Worldwide,,8,6065
Worldwide,,9,7818
Worldwide,,10,9826
Worldwide,,11,11953
Worldwide,,12,14557
Worldwide,,13,17391
Worldwide,,14,20630
Worldwide,,15,24544
Worldwide,,16,28276
Worldwide,,17,31481
Worldwide,,18,34886
Worldwide,,19,37558
Worldwide,,20,40554
Worldwide,,21,43103
Worldwide,,22,45171
Worldwide,,23,46997
Worldwide,,24,49053
Worldwide,,25,50580
Worldwide,,26,51857
Worldwide,,27,71429
Worldwide,,28,73332
Worldwide,,29,75204
Worldwide,,30,75748
Worldwide,,31,76769
Worldwide,,32,77794
Worldwide,,33,78811
Worldwide,,34,79331
Worldwide,,35,80239
Worldwide,,36,81109
Worldwide,,37,82294
Worldwide,,38,83652
Worldwide,,39,85403
Worldwide,,40,87137
Worldwide,,41,88948
Worldwide,,42,90869
Worldwide,,43,93090
Worldwide,,44,95324
Worldwide,,45,98192
Worldwide,,46,101927
Worldwide,,47,105592
Worldwide,,48,109577
Worldwide,,49,113702
Worldwide,,50,118326
